workspace name: Sculpt, id: TSplineEnvironment
  toolbarPanel name: Options, id: ResultsOptionsPanel
  toolbarPanel name: Layouts, id: CompareLayoutsPanel
  toolbarPanel name: Mesh Display, id: PostMeshPanel
  toolbarPanel name: Study, id: StudyPanel
  toolbarPanel name: Simplify, id: SimplifyPanel
  toolbarPanel name: Materials, id: MaterialsPanel
  toolbarPanel name: Constraints, id: ConstraintsPanel
  toolbarPanel name: Loads, id: LoadsPanel
  toolbarPanel name: Contacts, id: ContactsPanel
  toolbarPanel name: Display, id: DisplayPanel
  toolbarPanel name: Shape Optimization, id: OptimizationPanel
  toolbarPanel name: Solve, id: ResultsSolvePanel
  toolbarPanel name: Manage, id: ManagePanel
  toolbarPanel name: Results, id: ResultsPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: ResultsInspectPanel
  toolbarPanel name: Inspect, id: SketchInspectPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Simplify, id: FinishSimplifyPanel
  toolbarPanel name: Finish Edit Model, id: FinishEditModelPanel
  toolbarPanel name: Finish Compare, id: FinishSimComparePanel
workspace name: Edit Model, id: GenWorkingModelEnv
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Create, id: SolidCreatePanel
  toolbarPanel name: Modify, id: SolidModifyPanel
  toolbarPanel name: Create, id: SheetMetalCreatePanel
  toolbarPanel name: Modify, id: SheetMetalModifyPanel
  toolbarPanel name: Assemble, id: AssemblePanel
  toolbarPanel name: Modify, id: AssembleModifyPanel
  toolbarPanel name: Utility, id: AssembleUtilityPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Create, id: TSplinePrimitivePanel
  toolbarPanel name: Modify, id: TSplineModifyPanel
  toolbarPanel name: Symmetry, id: TSplineSymmetryPanel
  toolbarPanel name: Utilities, id: TSplineUtilitiesPanel
  toolbarPanel name: Create, id: MeshPrimitivePanel
  toolbarPanel name: Modify, id: MeshModifyPanel
  toolbarPanel name: Create, id: PCBCreatePanel
  toolbarPanel name: Modify, id: PCBModifyPanel
  toolbarPanel name: Generate, id: GeneratePanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: InspectMeshPanel
  toolbarPanel name: Inspect, id: ToolsInspectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: Bommer, id: BommerModifyPanel
  toolbarPanel name: Make, id: MakePanel
  toolbarPanel name: Add-ins, id: SolidScriptsAddinsPanel
  toolbarPanel name: Utility, id: UtilityPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Select, id: MeshSelectPanel
  toolbarPanel name: File, id: FilePanel
  toolbarPanel name: Diagnostics, id: DiagnosticsPanel
  toolbarPanel name: UI Demo, id: UIDemo
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Base Feature, id: StopBaseFeaturePanel
  toolbarPanel name: Finish Form, id: StopTSplineBaseFeaturePanel
  toolbarPanel name: Finish Mesh, id: StopMeshBaseFeaturePanel
  toolbarPanel name: Finish Capture Position, id: StopSnapshotEditPanel
  toolbarPanel name: Position, id: SnapshotPanel
  toolbarPanel name: Finish Capture Position, id: FinishSnapshotEditPanel
  toolbarPanel name: Modify, id: SnapshotSolidModifyPanel
  toolbarPanel name: Refold Faces, id: SheetmetalRefoldPanel
  toolbarPanel name: Finish PCB, id: StopPCBPanel
  toolbarPanel name: Return, id: ReturnPanel
  toolbarPanel name: Setup, id: RenderSetupPanel
  toolbarPanel name: In-canvas Render, id: InCanvasRenderPanel
  toolbarPanel name: Render, id: RenderPanel
  toolbarPanel name: Tools, id: ToolsPanel
workspace name: Explore, id: ExploreEnvironment
  toolbarPanel name: CREATE, id: SolidCreatePanel
  toolbarPanel name: MODIFY, id: SolidModifyPanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Modify, id: IdealizeModifyPanel
  toolbarPanel name: SHELLS, id: ShellsPanel
  toolbarPanel name: RESULT TOOLS, id: ResultToolsPanel
  toolbarPanel name: COMPARE, id: ComparePanel
  toolbarPanel name: DEFORMATION, id: DeformationPanel
  toolbarPanel name: Solve, id: SolvePanel
  toolbarPanel name: Manage, id: ManagePanel
  toolbarPanel name: Synchronize, id: SynchronizePanel
  toolbarPanel name: Animate, id: ResultsAnimatePanel
  toolbarPanel name: Options, id: ResultsOptionsPanel
  toolbarPanel name: Layouts, id: CompareLayoutsPanel
  toolbarPanel name: Mesh Display, id: PostMeshPanel
  toolbarPanel name: Study, id: StudyPanel
  toolbarPanel name: Simplify, id: SimplifyPanel
  toolbarPanel name: Materials, id: MaterialsPanel
  toolbarPanel name: Constraints, id: ConstraintsPanel
  toolbarPanel name: Loads, id: LoadsPanel
  toolbarPanel name: Contacts, id: ContactsPanel
  toolbarPanel name: Display, id: DisplayPanel
  toolbarPanel name: Shape Optimization, id: OptimizationPanel
  toolbarPanel name: Solve, id: ResultsSolvePanel
  toolbarPanel name: Manage, id: ManagePanel
  toolbarPanel name: Results, id: ResultsPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: ResultsInspectPanel
  toolbarPanel name: Inspect, id: SketchInspectPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Simplify, id: FinishSimplifyPanel
  toolbarPanel name: Finish Edit Model, id: FinishEditModelPanel
  toolbarPanel name: Finish Compare, id: FinishSimComparePanel
workspace name: Patch, id: FusionSurfaceEnvironment
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Create, id: SolidCreatePanel
  toolbarPanel name: Modify, id: SolidModifyPanel
  toolbarPanel name: Create, id: SheetMetalCreatePanel
  toolbarPanel name: Modify, id: SheetMetalModifyPanel
  toolbarPanel name: Assemble, id: AssemblePanel
  toolbarPanel name: Modify, id: AssembleModifyPanel
  toolbarPanel name: Utility, id: AssembleUtilityPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Create, id: TSplinePrimitivePanel
  toolbarPanel name: Modify, id: TSplineModifyPanel
  toolbarPanel name: Symmetry, id: TSplineSymmetryPanel
  toolbarPanel name: Utilities, id: TSplineUtilitiesPanel
  toolbarPanel name: Create, id: MeshPrimitivePanel
  toolbarPanel name: Modify, id: MeshModifyPanel
  toolbarPanel name: Create, id: PCBCreatePanel
  toolbarPanel name: Modify, id: PCBModifyPanel
  toolbarPanel name: Generate, id: GeneratePanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: InspectMeshPanel
  toolbarPanel name: Inspect, id: ToolsInspectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: Bommer, id: BommerModifyPanel
  toolbarPanel name: Make, id: MakePanel
  toolbarPanel name: Add-ins, id: SolidScriptsAddinsPanel
  toolbarPanel name: Utility, id: UtilityPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Select, id: MeshSelectPanel
  toolbarPanel name: File, id: FilePanel
  toolbarPanel name: Diagnostics, id: DiagnosticsPanel
  toolbarPanel name: UI Demo, id: UIDemo
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Base Feature, id: StopBaseFeaturePanel
  toolbarPanel name: Finish Form, id: StopTSplineBaseFeaturePanel
  toolbarPanel name: Finish Mesh, id: StopMeshBaseFeaturePanel
  toolbarPanel name: Finish Capture Position, id: StopSnapshotEditPanel
  toolbarPanel name: Position, id: SnapshotPanel
  toolbarPanel name: Finish Capture Position, id: FinishSnapshotEditPanel
  toolbarPanel name: Modify, id: SnapshotSolidModifyPanel
  toolbarPanel name: Refold Faces, id: SheetmetalRefoldPanel
  toolbarPanel name: Finish PCB, id: StopPCBPanel
  toolbarPanel name: Return, id: ReturnPanel
  toolbarPanel name: Setup, id: RenderSetupPanel
  toolbarPanel name: In-canvas Render, id: InCanvasRenderPanel
  toolbarPanel name: Render, id: RenderPanel
  toolbarPanel name: Tools, id: ToolsPanel
workspace name: Sheet Metal, id: FusionSheetMetalEnvironment
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Create, id: SolidCreatePanel
  toolbarPanel name: Modify, id: SolidModifyPanel
  toolbarPanel name: Create, id: SheetMetalCreatePanel
  toolbarPanel name: Modify, id: SheetMetalModifyPanel
  toolbarPanel name: Assemble, id: AssemblePanel
  toolbarPanel name: Modify, id: AssembleModifyPanel
  toolbarPanel name: Utility, id: AssembleUtilityPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Create, id: TSplinePrimitivePanel
  toolbarPanel name: Modify, id: TSplineModifyPanel
  toolbarPanel name: Symmetry, id: TSplineSymmetryPanel
  toolbarPanel name: Utilities, id: TSplineUtilitiesPanel
  toolbarPanel name: Create, id: MeshPrimitivePanel
  toolbarPanel name: Modify, id: MeshModifyPanel
  toolbarPanel name: Create, id: PCBCreatePanel
  toolbarPanel name: Modify, id: PCBModifyPanel
  toolbarPanel name: Generate, id: GeneratePanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: InspectMeshPanel
  toolbarPanel name: Inspect, id: ToolsInspectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: Bommer, id: BommerModifyPanel
  toolbarPanel name: Make, id: MakePanel
  toolbarPanel name: Add-ins, id: SolidScriptsAddinsPanel
  toolbarPanel name: Utility, id: UtilityPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Select, id: MeshSelectPanel
  toolbarPanel name: File, id: FilePanel
  toolbarPanel name: Diagnostics, id: DiagnosticsPanel
  toolbarPanel name: UI Demo, id: UIDemo
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Base Feature, id: StopBaseFeaturePanel
  toolbarPanel name: Finish Form, id: StopTSplineBaseFeaturePanel
  toolbarPanel name: Finish Mesh, id: StopMeshBaseFeaturePanel
  toolbarPanel name: Finish Capture Position, id: StopSnapshotEditPanel
  toolbarPanel name: Position, id: SnapshotPanel
  toolbarPanel name: Finish Capture Position, id: FinishSnapshotEditPanel
  toolbarPanel name: Modify, id: SnapshotSolidModifyPanel
  toolbarPanel name: Refold Faces, id: SheetmetalRefoldPanel
  toolbarPanel name: Finish PCB, id: StopPCBPanel
  toolbarPanel name: Return, id: ReturnPanel
  toolbarPanel name: Setup, id: RenderSetupPanel
  toolbarPanel name: In-canvas Render, id: InCanvasRenderPanel
  toolbarPanel name: Render, id: RenderPanel
  toolbarPanel name: Tools, id: ToolsPanel
workspace name: PCB, id: PCBEnvironment
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Create, id: SolidCreatePanel
  toolbarPanel name: Modify, id: SolidModifyPanel
  toolbarPanel name: Create, id: SheetMetalCreatePanel
  toolbarPanel name: Modify, id: SheetMetalModifyPanel
  toolbarPanel name: Assemble, id: AssemblePanel
  toolbarPanel name: Modify, id: AssembleModifyPanel
  toolbarPanel name: Utility, id: AssembleUtilityPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Create, id: TSplinePrimitivePanel
  toolbarPanel name: Modify, id: TSplineModifyPanel
  toolbarPanel name: Symmetry, id: TSplineSymmetryPanel
  toolbarPanel name: Utilities, id: TSplineUtilitiesPanel
  toolbarPanel name: Create, id: MeshPrimitivePanel
  toolbarPanel name: Modify, id: MeshModifyPanel
  toolbarPanel name: Create, id: PCBCreatePanel
  toolbarPanel name: Modify, id: PCBModifyPanel
  toolbarPanel name: Generate, id: GeneratePanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: InspectMeshPanel
  toolbarPanel name: Inspect, id: ToolsInspectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: Bommer, id: BommerModifyPanel
  toolbarPanel name: Make, id: MakePanel
  toolbarPanel name: Add-ins, id: SolidScriptsAddinsPanel
  toolbarPanel name: Utility, id: UtilityPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Select, id: MeshSelectPanel
  toolbarPanel name: File, id: FilePanel
  toolbarPanel name: Diagnostics, id: DiagnosticsPanel
  toolbarPanel name: UI Demo, id: UIDemo
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Base Feature, id: StopBaseFeaturePanel
  toolbarPanel name: Finish Form, id: StopTSplineBaseFeaturePanel
  toolbarPanel name: Finish Mesh, id: StopMeshBaseFeaturePanel
  toolbarPanel name: Finish Capture Position, id: StopSnapshotEditPanel
  toolbarPanel name: Position, id: SnapshotPanel
  toolbarPanel name: Finish Capture Position, id: FinishSnapshotEditPanel
  toolbarPanel name: Modify, id: SnapshotSolidModifyPanel
  toolbarPanel name: Refold Faces, id: SheetmetalRefoldPanel
  toolbarPanel name: Finish PCB, id: StopPCBPanel
  toolbarPanel name: Return, id: ReturnPanel
  toolbarPanel name: Setup, id: RenderSetupPanel
  toolbarPanel name: In-canvas Render, id: InCanvasRenderPanel
  toolbarPanel name: Render, id: RenderPanel
  toolbarPanel name: Tools, id: ToolsPanel
workspace name: Mesh, id: MeshEnvironment
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Create, id: SolidCreatePanel
  toolbarPanel name: Modify, id: SolidModifyPanel
  toolbarPanel name: Create, id: SheetMetalCreatePanel
  toolbarPanel name: Modify, id: SheetMetalModifyPanel
  toolbarPanel name: Assemble, id: AssemblePanel
  toolbarPanel name: Modify, id: AssembleModifyPanel
  toolbarPanel name: Utility, id: AssembleUtilityPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Create, id: TSplinePrimitivePanel
  toolbarPanel name: Modify, id: TSplineModifyPanel
  toolbarPanel name: Symmetry, id: TSplineSymmetryPanel
  toolbarPanel name: Utilities, id: TSplineUtilitiesPanel
  toolbarPanel name: Create, id: MeshPrimitivePanel
  toolbarPanel name: Modify, id: MeshModifyPanel
  toolbarPanel name: Create, id: PCBCreatePanel
  toolbarPanel name: Modify, id: PCBModifyPanel
  toolbarPanel name: Generate, id: GeneratePanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: InspectMeshPanel
  toolbarPanel name: Inspect, id: ToolsInspectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: Bommer, id: BommerModifyPanel
  toolbarPanel name: Make, id: MakePanel
  toolbarPanel name: Add-ins, id: SolidScriptsAddinsPanel
  toolbarPanel name: Utility, id: UtilityPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Select, id: MeshSelectPanel
  toolbarPanel name: File, id: FilePanel
  toolbarPanel name: Diagnostics, id: DiagnosticsPanel
  toolbarPanel name: UI Demo, id: UIDemo
  toolbarPanel name: Stop Sketch, id: StopSketchPanel
  toolbarPanel name: Finish Base Feature, id: StopBaseFeaturePanel
  toolbarPanel name: Finish Form, id: StopTSplineBaseFeaturePanel
  toolbarPanel name: Finish Mesh, id: StopMeshBaseFeaturePanel
  toolbarPanel name: Finish Capture Position, id: StopSnapshotEditPanel
  toolbarPanel name: Position, id: SnapshotPanel
  toolbarPanel name: Finish Capture Position, id: FinishSnapshotEditPanel
  toolbarPanel name: Modify, id: SnapshotSolidModifyPanel
  toolbarPanel name: Refold Faces, id: SheetmetalRefoldPanel
  toolbarPanel name: Finish PCB, id: StopPCBPanel
  toolbarPanel name: Return, id: ReturnPanel
  toolbarPanel name: Setup, id: RenderSetupPanel
  toolbarPanel name: In-canvas Render, id: InCanvasRenderPanel
  toolbarPanel name: Render, id: RenderPanel
  toolbarPanel name: Tools, id: ToolsPanel
workspace name: Render, id: FusionRenderEnvironment
  toolbarPanel name: CREATE, id: SketchCreatePanel
  toolbarPanel name: MODIFY, id: SketchModifyPanel
  toolbarPanel name: CONSTRAINTS, id: SketchConstraintsPanel
  toolbarPanel name: Create, id: SolidCreatePanel
  toolbarPanel name: Modify, id: SolidModifyPanel
  toolbarPanel name: Create, id: SheetMetalCreatePanel
  toolbarPanel name: Modify, id: SheetMetalModifyPanel
  toolbarPanel name: Assemble, id: AssemblePanel
  toolbarPanel name: Modify, id: AssembleModifyPanel
  toolbarPanel name: Utility, id: AssembleUtilityPanel
  toolbarPanel name: Create, id: SurfaceCreatePanel
  toolbarPanel name: Modify, id: SurfaceModifyPanel
  toolbarPanel name: Create, id: TSplinePrimitivePanel
  toolbarPanel name: Modify, id: TSplineModifyPanel
  toolbarPanel name: Symmetry, id: TSplineSymmetryPanel
  toolbarPanel name: Utilities, id: TSplineUtilitiesPanel
  toolbarPanel name: Create, id: MeshPrimitivePanel
  toolbarPanel name: Modify, id: MeshModifyPanel
  toolbarPanel name: Create, id: PCBCreatePanel
  toolbarPanel name: Modify, id: PCBModifyPanel
  toolbarPanel name: Generate, id: GeneratePanel
  toolbarPanel name: Construct, id: ConstructionPanel
  toolbarPanel name: Inspect, id: InspectPanel
  toolbarPanel name: Inspect, id: InspectMeshPanel
  toolbarPanel name: Inspect, id: ToolsInspectPanel
  toolbarPanel name: Insert, id: InsertPanel
  toolbarPanel name: Bommer, id: BommerModifyPanel
  toolbarPanel name: Make, id: MakePanel
  toolbarPanel name: Add-ins, id: SolidScriptsAddinsPanel
  toolbarPanel name: Utility, id: UtilityPanel
  toolbarPanel name: Select, id: SelectPanel
  toolbarPanel name: Select, id: MeshSelectPanel
  toolbarPanel name: File, id: FilePanel
  toolbarPanel name: Diagnostics, id: DiagnosticsPanel
